Id,Idade,Faixa idade,Gênero,Cor/raca/etnia,PCD,Vive no Brasil,Estado onde mora,UF onde mora,Região onde Mora,Nível de Ensino,Área de Formação,Qual sua situação atual de trabalho?,Setor,Numero de Funcionários,Cargo Atual,Nível,Faixa salarial,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?,Existe faculdade no Estado
hpx8ojgvumgeklalvshpx8ozzk8l2lj2,39,4,0,1,0,1,São Paulo (SP),23,Sudeste,1,2,Empregado (CLT),16,Acima de 3.000,3,1,13,3,0,0,1
hqhhebdepmlz4tw5h1hqh47olg1ckm0h,34,3,1,1,0,1,Minas Gerais (MG),9,Sudeste,2,3,Empregado (CLT),16,de 1.001 a 3.000,1,2,13,6,4,0,1
hqj1eroynh0ddtrrkhqjcf4fu5dantlr,32,3,1,1,0,1,Minas Gerais (MG),9,Sudeste,1,7,Empregado (CLT),4,de 1.001 a 3.000,3,1,13,4,1,0,1
hqyiyjt54eip3zkhqyiyrxgcw0j8e9jd,39,4,1,0,0,1,São Paulo (SP),23,Sudeste,3,1,Empregado (CLT),0,de 101 a 500,1,2,13,6,2,0,1
hr9alkk14vto6whhj7njp6m2btc9czfj,29,2,1,1,0,1,São Paulo (SP),23,Sudeste,3,6,Empregado (CLT),4,Acima de 3.000,0,2,13,4,2,0,1
hrws7pbemqx37xb8uhrws7fnvgo5fcc8,25,2,0,1,0,1,São Paulo (SP),23,Sudeste,1,2,Empregado (CLT),16,de 1.001 a 3.000,0,1,11,3,2,0,1
hs4ee7bkgf5s3f3frths4ee7bkfir5pv,34,3,0,1,0,1,Minas Gerais (MG),9,Sudeste,1,2,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,9,de 51 a 100,6,1,8,4,6,0,1
hsmpomapq4iwhxqa6hsmpowpy6ny3z7z,29,2,0,4,0,1,Distrito Federal (DF),5,Centro-oeste,1,8,Estagiário,0,de 101 a 500,7,0,2,3,1,0,0
hsvtczsiislnaojihsvtczavgevj05r9,25,2,1,0,0,1,São Paulo (SP),23,Sudeste,0,2,Empregado (CLT),20,de 51 a 100,6,0,9,1,3,0,1
ht03gnlawkluy0ht03gndczefs93m0ic,24,1,0,1,0,1,Rio Grande do Norte (RN),18,Nordeste,1,2,Empregado (CLT),16,Acima de 3.000,6,0,9,3,3,0,0
hu5g7oqwfjb38h5i1e3ugbwhu5g7oq84,29,2,1,1,0,1,Paraná (PR),16,Sul,3,7,Empregado (CLT),7,de 1.001 a 3.000,1,0,12,1,1,0,0
