Id;Idade;Faixa idade;Gênero;Cor/raca/etnia;PCD;Vive no Brasil;Estado onde mora;UF onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Setor;Numero de Funcionários;Cargo Atual;Nível;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?;Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?;Cientista de Dados/Data Scientist
001b2d1qtli8t9z7oqgdhj001b2d4i0g;31;30-34;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Doutorado ou Phd;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0026aa3fwd78u0026asg7456tfkjg2cs;30;30-34;Masculino;Branca;Não;1;Espírito Santo (ES);ES;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Finanças ou Bancos;de 101 a 500;Analista de BI/BI Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 3 a 4 anos;;
00r21rb9pusd1b0v7ew00r21rw3dy69w;37;35-39;Feminino;Amarela;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Analista de Dados/Data Analyst;Júnior;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano;;
00urm3jf2cek12w6ygue00urm3jzd17j;22;22-24;Masculino;Preta;Não;1;São Paulo (SP);SP;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;;;;;;
00v0az4g792svil00vn6y1kfm9hq8vy9;34;30-34;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Doutorado ou Phd;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);Outra Opção;de 101 a 500;Analista de Dados/Data Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Menos de 1 ano;;
015qqbrh4rr015qje9gvkbsb7ti1n5df;30;30-34;Masculino;Branca;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;de 51 a 100;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
01810y9hweneb018to8t1p8ubyn1o04m;24;22-24;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Analista de Negócios/Business Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
01k1i8w42ljmgee01k1eay1n1283ot23;35;35-39;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;Acima de 3.000;;;de R$ 20.001/mês a R$ 25.000/mês;de 7 a 10 anos;de 7 a 10 anos;4 - 10;0
01n9nd73iv68k81iefenxv01n9nd7wjt;27;25-29;Masculino;Parda;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Trabalho na área Acadêmica/Pesquisador;;;;;;;;;
01v9nqn7mz93ace01v9ig2aswc6oy2zq;28;25-29;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;;;;;;
01zusm1faol2k2601zlthh05cj7iqyit;25;25-29;Masculino;Preta;Sim;1;Sergipe (SE);SE;Nordeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Setor Público;de 101 a 500;Analista de BI/BI Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;de 1 a 2 anos;de 5 a 6 anos;;
02cv39tv75nm2z9zhcv02cv379703hvs;46;45-49;Feminino;Parda;Não;1;Pernambuco (PE);PE;Nordeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;;;;;;
02yuxvtb6698rqwq8w02yuza594l7cut;32;30-34;Feminino;Preta;Não;1;Rio Grande do Sul (RS);RS;Sul;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Tecnologia/Fábrica de Software;de 501 a 1.000;Outra Opção;Pleno;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
03hoy11ga4jko92xixsfb03hogk1wpa8;39;35-39;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;;;de R$ 16.001/mês a R$ 20.000/mês;Mais de 10 anos;Mais de 10 anos;101 - 300;1
03s7lpmvw0hjtzjgxl5ys03s7lpmbwwg;36;35-39;Masculino;Branca;Não;1;Distrito Federal (DF);DF;Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;Tecnologia/Fábrica de Software;Acima de 3.000;;;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;51 - 100;1
03zphd4wn92u78t7c03zph7kmu1pu8nw;35;35-39;Feminino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;de 51 a 100;;;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;de 3 a 4 anos;4 - 10;1
04b8mbh28y4r0z04b8f42bs4j4ma44pl;29;25-29;Feminino;Branca;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Servidor Público;Setor Público;Acima de 3.000;Analista de Dados/Data Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
04ellbzcl7lj3va9n1yx04eleu3mlvml;29;25-29;Feminino;Prefiro não informar;Não;1;Minas Gerais (MG);MG;Sudeste;Mestrado;Outra opção;Empregado (CLT);Tecnologia/Fábrica de Software;Acima de 3.000;Analista de Negócios/Business Analyst;Júnior;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Menos de 1 ano;;
04mb6m64f1b9566fnjwz04mb6m6bmelv;27;25-29;Masculino;Parda;Não;1;Paraná (PR);PR;Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;de 11 a 50;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Júnior;de R$ 2.001/mês a R$ 3.000/mês;de 3 a 4 anos;de 1 a 2 anos;;
04oft971jvyonsl456b704oft97ssj7l;31;30-34;Masculino;Branca;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Entretenimento ou Esportes;Acima de 3.000;;;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;51 - 100;1
04qj1aoh18cgbwi04qj1aohkr325qe6z;35;35-39;Masculino;Parda;Não;1;Paraíba (PB);PB;Nordeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Internet/Ecommerce;de 1.001 a 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 5 a 6 anos;de 3 a 4 anos;;
04qmbrvl35x33l4prch04qmbr7a5ee5j;35;35-39;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Internet/Ecommerce;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
04zjy2mj5qhb4d4uv04zjw3u7cxv87x7;29;25-29;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Graduação/Bacharelado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);Área da Saúde;Acima de 3.000;Cientista de Dados/Data Scientist;Sênior;Acima de R$ 40.001/mês;de 5 a 6 anos;Menos de 1 ano;;
05csrlllrg5xhyryv7i305csrl8hfybu;44;40-44;Feminino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Doutorado ou Phd;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Área de Consultoria;de 51 a 100;;;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;1 - 3;0
05edmndszxd75nu8o05edmnbiuloulj9;25;25-29;Feminino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Setor Alimentício;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano;;
05na8bynsxjppjlrgsfb405na83mpw9f;36;35-39;Masculino;Branca;Não;1;Acre (AC);;;Graduação/Bacharelado;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Setor Alimentício;de 1.001 a 3.000;Analista de Dados/Data Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;de 5 a 6 anos;;
06bekvb2fzxi6n0czi06bekvydrj06mi;36;35-39;Feminino;Parda;Não;1;Minas Gerais (MG);MG;Sudeste;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Finanças ou Bancos;de 101 a 500;;;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;11 - 20;0
06ytc58mw53h90izzo306ytcpdc16w70;46;45-49;Masculino;Branca;Não;1;Santa Catarina (SC);SC;Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Educação;de 51 a 100;Professor/Pesquisador;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
06zhqgd6dr4xjy06zhqg21con02zwy42;33;30-34;Feminino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;Acima de 3.000;Analytics Engineer;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano;;
076sddptnza0htgkwxmr1jr076sddptb;30;30-34;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Área de Consultoria;de 101 a 500;Economista;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
07ei3nr4jibmbslmgzup07ei3n8u13ka;32;30-34;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Não tenho graduação formal;;Empregado (CLT);Área de Consultoria;de 11 a 50;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Menos de 1 ano;;
07podb88144utvmy9lk0x07podb8k8nl;38;35-39;Masculino;Preta;Não;1;São Paulo (SP);SP;Sudeste;Não tenho graduação formal;;Empregado (CLT);Tecnologia/Fábrica de Software;de 501 a 1.000;Cientista de Dados/Data Scientist;Sênior;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;Menos de 1 ano;;
07vxvpqgtstbdqapyq07vo5p9yky8rqh;36;35-39;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Setor Alimentício;de 101 a 500;;;de R$ 25.001/mês a R$ 30.000/mês;de 7 a 10 anos;de 7 a 10 anos;4 - 10;1
083f331tparwm4083fxbusb0cps0rmwa;53;50-54;Masculino;Branca;Não;1;Rio Grande do Sul (RS);RS;Sul;Pós-graduação;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Entretenimento ou Esportes;de 501 a 1.000;Professor/Pesquisador;Pleno;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
08f7gp5stfs0txz08fn357e56e1co6sj;23;22-24;Masculino;Amarela;Prefiro não informar;1;São Paulo (SP);SP;Sudeste;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Marketing;Acima de 3.000;Cientista de Dados/Data Scientist;Pleno;de R$ 3.001/mês a R$ 4.000/mês;de 3 a 4 anos;Menos de 1 ano;;
091jp2ibksf49d1cgtz0091jp2bpsxzx;31;30-34;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Área da Saúde;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 7 a 10 anos;;
09esdc97ebk0609es03a7nf83pw1owqg;33;30-34;Feminino;Branca;Não;1;Bahia (BA);BA;Nordeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Área de Consultoria;de 501 a 1.000;Analista de Negócios/Business Analyst;Sênior;de R$ 4.001/mês a R$ 6.000/mês;de 7 a 10 anos;Menos de 1 ano;;
0aadbbqu8p2hf3a0aadbshkx5p9ty80m;36;35-39;Masculino;Branca;Não;1;Santa Catarina (SC);SC;Sul;Mestrado;Outras Engenharias;Empregado (CLT);Varejo;Acima de 3.000;Analista de Dados/Data Analyst;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0an4fvp64oeblyt70k00an4fvtn9vcle;29;25-29;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Setor Alimentício;Acima de 3.000;Cientista de Dados/Data Scientist;Sênior;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;Menos de 1 ano;;
0autzixgz8xh4s7nwdw70autzmjayn79;38;35-39;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Indústria;Acima de 3.000;Analista de Dados/Data Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0ayla3c460hpsv520ayla3i1xyyhg350;23;22-24;Masculino;Branca;Não;1;Rio Grande do Sul (RS);RS;Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Entretenimento ou Esportes;de 101 a 500;Analista de Dados/Data Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano;;
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y;27;25-29;Masculino;Branca;Não;1;Pará (PA);PA;Norte;Mestrado;Química / Física;Empregado (CLT);Área de Consultoria;de 501 a 1.000;Analista de Dados/Data Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0b3av6hp5sh4tl79rh0b3avpntmyuqiu;26;25-29;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Cientista de Dados/Data Scientist;Sênior;de R$ 20.001/mês a R$ 25.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0b8rbnxgqxk8fio2z4k0b8syvfnu6uyz;30;30-34;Masculino;Parda;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Tecnologia/Fábrica de Software;de 1.001 a 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Menos de 1 ano;;
0b9sb2w74o4h0f42j0b9sbk83r3d01j0;26;25-29;Feminino;Branca;Não;1;Paraná (PR);PR;Sul;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Setor Alimentício;Acima de 3.000;Analista de BI/BI Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0baz3khrxi0sei0bazgztvrrugudi1wd;50;50-54;Feminino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Mestrado;Química / Física;Servidor Público;Educação;de 501 a 1.000;Estatístico;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Menos de 1 ano;;
0bb3tmiavc8odqz33eojlr0bb3to0mtu;23;22-24;Feminino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Área de Consultoria;de 11 a 50;;;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Menos de 1 ano;11 - 20;1
0beob0vw5kuacjool0w0beobkbzsh06f;22;22-24;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;de 1.001 a 3.000;Analista de Dados/Data Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0bj58kvonhsptf90bj5ldaxfkdm013kt;39;35-39;Masculino;Parda;Não;1;Goiás (GO);GO;Centro-oeste;Pós-graduação;Marketing / Publicidade / Comunicação / Jornalismo;Empregado (CLT);Varejo;Acima de 3.000;Analista de BI/BI Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx;34;30-34;Feminino;Branca;Não;1;Pernambuco (PE);PE;Nordeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;de 1 a 2 anos;;
0bzkjj29s204r00bzkuifih8t0n4shmd;23;22-24;Masculino;Branca;Não;Inválido;;;;Prefiro não informar;;Estagiário;Tecnologia/Fábrica de Software;de 11 a 50;Cientista de Dados/Data Scientist;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Menos de 1 ano;;
0c61ipysz17kckyll0c61ivgliw391vr;29;25-29;Masculino;Preta;Não;1;Distrito Federal (DF);DF;Centro-oeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Analytics Engineer;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;de 1 a 2 anos;;
0czmmsqic3e0czzgfpcxcmlvopm6lzgf;25;25-29;Feminino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Outra opção;Empregado (CLT);Marketing;de 101 a 500;Outra Opção;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0ddxnylpynv0fgc72nuiy0ddx2np8hvc;26;25-29;Feminino;Branca;Não;1;Paraná (PR);PR;Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano;;
0dkjjbum7c9eeyyr0dkjusywtxxirtxf;27;25-29;Masculino;Preta;Não;1;Pernambuco (PE);PE;Nordeste;Graduação/Bacharelado;Outras Engenharias;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Finanças ou Bancos;de 101 a 500;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 20.001/mês a R$ 25.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0dmgnvaor1n4kwg0dofeq0cvtz9wszxp;27;25-29;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Finanças ou Bancos;Acima de 3.000;Cientista de Dados/Data Scientist;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;de 1 a 2 anos;;
0dqlwrfgpu6hl40dq03c11aoxyrkddtt;24;22-24;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Área da Saúde;Acima de 3.000;Analista de BI/BI Analyst;Júnior;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;de 1 a 2 anos;;
0dverwvn6qvm84sj0dverwv1jhbj8uhf;22;22-24;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Finanças ou Bancos;de 101 a 500;Analista de Dados/Data Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Menos de 1 ano;;
0e5jp063qgcme6ly0e5j1oqs6sdw53oi;29;25-29;Masculino;Preta;Não;1;Espírito Santo (ES);ES;Sudeste;Mestrado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;de 1.001 a 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0e6w1fl8ezu3h7bnef0e6w1fl8ekby7x;32;30-34;Masculino;Branca;Não;1;Rio Grande do Sul (RS);RS;Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Mais de 10 anos;;
0ei02mf5qxmda4g0ei02noz2n3ozbmns;38;35-39;Feminino;Branca;Não;1;Espírito Santo (ES);ES;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Indústria;de 1.001 a 3.000;Outra Opção;Sênior;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 1 a 2 anos;;
0es5j6zi3eta53c3alanv0es5j6zm7bp;62;55+;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Não tenho graduação formal;;Desempregado e não estou buscando recolocação;;;;;;;;;
0etlg34j0c2aa5gxkx0etlgl5085l8cl;27;25-29;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Setor Automotivo;Acima de 3.000;Cientista de Dados/Data Scientist;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;de 7 a 10 anos;;
0fqm46sjwi4favsmqvl0fqm46s98elu7;27;25-29;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;;;de R$ 16.001/mês a R$ 20.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;51 - 100;1
0fy84aoyul0t71eaqln0fyfp4p5e8glp;27;25-29;Feminino;Branca;Não;1;Rio Grande do Sul (RS);RS;Sul;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Economista;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0g42rq6g6p2q873xia8y0g42x4n8upzt;29;25-29;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;de 101 a 500;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 16.001/mês a R$ 20.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0gegw5q7g3lykqzh1jrvp0gegw55wg08;23;22-24;Feminino;Branca;Não;1;Bahia (BA);BA;Nordeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Somente Estudante (pós-graduação);;;;;;;;;
0ghkr6f66sdb6irt0c0ghk9s6mjqabxz;23;22-24;Masculino;Preta;Não;1;Rio Grande do Sul (RS);RS;Sul;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Analista de Dados/Data Analyst;Pleno;de R$ 3.001/mês a R$ 4.000/mês;de 3 a 4 anos;de 1 a 2 anos;;
0gn3aonvi5bf7v0gditzg8sz142fxclo;26;25-29;Masculino;Branca;Não;1;Mato Grosso (MT);MT;Centro-oeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Analista de BI/BI Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano;;
