Id;Idade;Faixa idade;Gênero;Cor/raca/etnia;PCD;Vive no Brasil;Estado onde mora;UF onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Setor;Numero de Funcionários;Cargo Atual;Nível;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?;Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?;Cientista de Dados/Data Scientist
ud8wm6fyfti9uzsnvaud8wtesbovm0fe;28;25-29;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Engenheiro de Machine Learning/ML Engineer/AI Engineer;Sênior;de R$ 16.001/mês a R$ 20.000/mês;de 4 a 6 anos;Menos de 1 ano;;
udclngygf02gz1qr9yudcl3hgbv0woh9;20;17-21;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Área de Consultoria;de 1.001 a 3.000;Analista de Dados/Data Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
ude1gcd73flhl8uude1s9f2rbk3em8qx;34;30-34;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Internet/Ecommerce;de 11 a 50;Analista de BI/BI Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
udkyvmk4pscm8mljhrudkyvmi5vzg1c1;30;30-34;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Outras Engenharias;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Marketing;de 501 a 1.000;Analista de Dados/Data Analyst;Pleno;de R$ 16.001/mês a R$ 20.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
udughwdvh1o2cx9sbqrum4udughwd3fb;42;40-44;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Mestrado;Outras Engenharias;Servidor Público;Setor Público;de 1.001 a 3.000;Economista;Sênior;de R$ 25.001/mês a R$ 30.000/mês;de 7 a 10 anos;de 3 a 4 anos;;
udxl6zl5an9azthn0udxl6za9y05besb;28;25-29;Feminino;Parda;Não;Inválido;;;;Graduação/Bacharelado;Outras Engenharias;Vivo fora do Brasil e trabalho para empresa de fora do Brasil;Varejo;Acima de 3.000;Cientista de Dados/Data Scientist;Júnior;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
ue0qan4ht0gv14gxue0qa85l239mwzdb;48;45-49;Feminino;Parda;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Filantropia/ONG's;de 101 a 500;;;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Mais de 10 anos;1 - 3;0
ue1iu7u19vdy5jdue1iu7myy8art7fsc;50;50-54;Masculino;Branca;Não;1;Rio Grande do Sul (RS);RS;Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;de 51 a 100;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Mais de 10 anos;;
uei16toixf8frhcgln8uei169sigg3st;30;30-34;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Seguros ou Previdência;de 1.001 a 3.000;Analista de Dados/Data Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Menos de 1 ano;;
ueuk8qr41txh10j0ueuk8nyor01fys7a;19;17-21;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Outra Opção;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Menos de 1 ano;;
ueysz1j5idi3fnd97bh5ueysz1kpchg3;26;25-29;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Área de Consultoria;de 1.001 a 3.000;Cientista de Dados/Data Scientist;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 1 a 2 anos;;
uf5w0clh9puxz2aca8uf5wks1oieivjb;22;22-24;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Outra opção;Empregado (CLT);Educação;de 101 a 500;Analista de BI/BI Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 3 a 4 anos;;
uf5wlo4mzaw2nsd2uf5w7xhf0u9cac8a;38;35-39;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Indústria;Acima de 3.000;;;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;de 1 a 2 anos;Acima de 300 pessoas;1
uf73wm0av5rj4y5jcn4uf73wmirg84sz;31;30-34;Masculino;Branca;Não;1;Rio Grande do Sul (RS);RS;Sul;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Varejo;de 11 a 50;;;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;Ainda não temos pessoas atuando com dados na empresa;0
ug4cf1kiwmazjm24k2eug4cf1zki0xcg;42;40-44;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Área da Saúde;de 501 a 1.000;;;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Mais de 10 anos;21 - 50;1
ugh0swijvzu48jsli1ugh0gtpxb0o148;29;25-29;Masculino;Parda;Não;1;Alagoas (AL);AL;Nordeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 7 a 10 anos;;
uguf34e2pywe967uugjy962zzqk74i50;41;40-44;Masculino;Branca;Não;1;Rio Grande do Sul (RS);RS;Sul;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;;;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Mais de 10 anos;101 - 300;1
uhjqj9fj73t0hxxwsdisuhjqj9s34ttx;28;25-29;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Outra Opção;Acima de 3.000;Analista de Dados/Data Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;de 1 a 2 anos;;
uhr25ka5s5oldqbj7iehuhr25kafs0ie;32;30-34;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Outras Engenharias;Desempregado, buscando recolocação;;;;;;;;;
ui5hfr9rlbjas803atjui5hfr9h6mtiq;24;22-24;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Mestrado;Outras Engenharias;Empregado (CLT);Tecnologia/Fábrica de Software;Acima de 3.000;Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;de 3 a 4 anos;;
ui7s5sf4eumr5rfui78o2kp3w097rrq8;35;35-39;Feminino;Branca;Não;1;Espírito Santo (ES);ES;Sudeste;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;;;;;;
uieu5b3o5w3r3qgicvocvd4uieu5b3o9;24;22-24;Masculino;Branca;Não;1;Pernambuco (PE);PE;Nordeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Outra Opção;de 101 a 500;Engenheiro de Machine Learning/ML Engineer/AI Engineer;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
uiijsut95sc8bb5dmgckiuiijsa5vx0s;24;22-24;Masculino;Branca;Não;1;Santa Catarina (SC);SC;Sul;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Área da Saúde;de 1.001 a 3.000;Analista de BI/BI Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
uinu1yvzx8yynpkoruinkxq3byrmcukr;34;30-34;Masculino;Branca;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;de 501 a 1.000;Analista de BI/BI Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;de 7 a 10 anos;;
uj3r1e25oo7tweyy6uj3r1aixznkgja4;25;25-29;Feminino;Branca;Não;1;Santa Catarina (SC);SC;Sul;Mestrado;Outra opção;Empregado (CLT);Telecomunicação;de 51 a 100;Analista de Dados/Data Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
uj8l56ggn1r8pb8km8vzuj8l5bnxvoin;26;25-29;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;de 5 a 6 anos;;
ujaf42szyzy37flmyjlujaf42s8h2v6h;21;17-21;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Indústria;Acima de 3.000;Cientista de Dados/Data Scientist;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Menos de 1 ano;;
ujgyg90p7l764w0gmmlujgyg9x6biex8;43;40-44;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Área da Saúde;Acima de 3.000;Analista de Dados/Data Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;de 7 a 10 anos;;
